Lower layer Super Output Areas Code,Household type (6 categories),Observation
E01000461,Lone parent household,63
E01000461,Multi-person household,13
E01000462,Does not apply,0
E01000462,One-person household,312
E01000462,Married or civil partnership couple household,258
E01000462,Cohabiting couple household,124
E01000462,Lone parent household,103
E01000462,Multi-person household,38
E01000463,Does not apply,0
E01000463,One-person household,83
E01000463,Married or civil partnership couple household,269
E01000463,Cohabiting couple household,49
E01000463,Lone parent household,45
E01000463,Multi-person household,7
E01000464,Does not apply,0
E01000464,One-person household,185
E01000464,Married or civil partnership couple household,185
E01000464,Cohabiting couple household,44
E01000464,Lone parent household,122
E01000464,Multi-person household,16
E01000465,Does not apply,0
E01000465,One-person household,303
E01000465,Married or civil partnership couple household,181
E01000465,Cohabiting couple household,64
E01000465,Lone parent household,165
E01000465,Multi-person household,16
E01000466,Does not apply,0
E01000466,One-person household,177
E01000466,Married or civil partnership couple household,191
E01000466,Cohabiting couple household,57
E01000466,Lone parent household,142
E01000466,Multi-person household,33
E01000467,Does not apply,0
E01000467,One-person household,125
E01000467,Married or civil partnership couple household,225
E01000467,Cohabiting couple household,51
E01000467,Lone parent household,167
E01000467,Multi-person household,25
E01000468,Does not apply,0
E01000468,One-person household,186
E01000468,Married or civil partnership couple household,350
E01000468,Cohabiting couple household,116
E01000468,Lone parent household,262
E01000468,Multi-person household,28
E01000469,Does not apply,0
E01000469,One-person household,170
E01000469,Married or civil partnership couple household,234
E01000469,Cohabiting couple household,69
E01000469,Lone parent household,141
E01000469,Multi-person household,25
E01000470,Does not apply,0
E01000470,One-person household,183
E01000470,Married or civil partnership couple household,125
E01000470,Cohabiting couple household,58
E01000470,Lone parent household,146
E01000470,Multi-person household,16
E01000471,Does not apply,0
E01000471,One-person household,82
E01000471,Married or civil partnership couple household,264
E01000471,Cohabiting couple household,52
E01000471,Lone parent household,71
E01000471,Multi-person household,21
E01000472,Does not apply,0
E01000472,One-person household,234
E01000472,Married or civil partnership couple household,378
E01000472,Cohabiting couple household,117
E01000472,Lone parent household,146
E01000472,Multi-person household,43
E01000473,Does not apply,0
E01000473,One-person household,173
E01000473,Married or civil partnership couple household,405
E01000473,Cohabiting couple household,33
E01000473,Lone parent household,149
E01000473,Multi-person household,28
E01000474,Does not apply,0
E01000474,One-person household,58
E01000474,Married or civil partnership couple household,341
E01000474,Cohabiting couple household,21
E01000474,Lone parent household,82
E01000474,Multi-person household,16
E01000475,Does not apply,0
E01000475,One-person household,114
E01000475,Married or civil partnership couple household,328
E01000475,Cohabiting couple household,56
E01000475,Lone parent household,85
E01000475,Multi-person household,29
E01000476,Does not apply,0
E01000476,One-person household,93
E01000476,Married or civil partnership couple household,334
E01000476,Cohabiting couple household,47
E01000476,Lone parent household,67
E01000476,Multi-person household,14
E01000477,Does not apply,0
E01000477,One-person household,140
E01000477,Married or civil partnership couple household,357
E01000477,Cohabiting couple household,66
E01000477,Lone parent household,92
E01000477,Multi-person household,28
E01000478,Does not apply,0
E01000478,One-person household,146
E01000478,Married or civil partnership couple household,381
E01000478,Cohabiting couple household,50
E01000478,Lone parent household,113
E01000478,Multi-person household,24
E01000479,Does not apply,0
E01000479,One-person household,88
E01000479,Married or civil partnership couple household,316
E01000479,Cohabiting couple household,26
E01000479,Lone parent household,63
E01000479,Multi-person household,21
E01000480,Does not apply,0
E01000480,One-person household,86
E01000480,Married or civil partnership couple household,310
E01000480,Cohabiting couple household,36
E01000480,Lone parent household,62
E01000480,Multi-person household,20
E01000481,Does not apply,0
E01000481,One-person household,165
E01000481,Married or civil partnership couple household,238
E01000481,Cohabiting couple household,47
E01000481,Lone parent household,124
E01000481,Multi-person household,27
E01000483,Does not apply,0
E01000483,One-person household,178
E01000483,Married or civil partnership couple household,242
E01000483,Cohabiting couple household,37
E01000483,Lone parent household,178
E01000483,Multi-person household,22
E01000484,Does not apply,0
E01000484,One-person household,129
E01000484,Married or civil partnership couple household,219
E01000484,Cohabiting couple household,29
E01000484,Lone parent household,220
E01000484,Multi-person household,17
E01000485,Does not apply,0
E01000485,One-person household,137
E01000485,Married or civil partnership couple household,261
E01000485,Cohabiting couple household,24
E01000485,Lone parent household,85
E01000485,Multi-person household,24
E01000486,Does not apply,0
E01000486,One-person household,73
E01000486,Married or civil partnership couple household,334
E01000486,Cohabiting couple household,25
E01000486,Lone parent household,67
E01000486,Multi-person household,21
E01000487,Does not apply,0
E01000487,One-person household,196
E01000487,Married or civil partnership couple household,329
E01000487,Cohabiting couple household,57
E01000487,Lone parent household,77
E01000487,Multi-person household,39
E01000488,Does not apply,0
E01000488,One-person household,166
E01000488,Married or civil partnership couple household,208
E01000488,Cohabiting couple household,48
E01000488,Lone parent household,88
E01000488,Multi-person household,41
E01000489,Does not apply,0
E01000489,One-person household,246
E01000489,Married or civil partnership couple household,234
E01000489,Cohabiting couple household,52
E01000489,Lone parent household,93
E01000489,Multi-person household,63
E01000490,Does not apply,0
E01000490,One-person household,371
E01000490,Married or civil partnership couple household,205
E01000490,Cohabiting couple household,152
E01000490,Lone parent household,82
E01000490,Multi-person household,77
E01000491,Does not apply,0
E01000491,One-person household,319
E01000491,Married or civil partnership couple household,252
E01000491,Cohabiting couple household,109
E01000491,Lone parent household,123
E01000491,Multi-person household,61
E01000492,Does not apply,0
E01000492,One-person household,96
E01000492,Married or civil partnership couple household,223
E01000492,Cohabiting couple household,40
E01000492,Lone parent household,65
E01000492,Multi-person household,27
E01000493,Does not apply,0
E01000493,One-person household,123
E01000493,Married or civil partnership couple household,251
E01000493,Cohabiting couple household,61
E01000493,Lone parent household,92
E01000493,Multi-person household,37
E01000494,Does not apply,0
E01000494,One-person household,246
E01000494,Married or civil partnership couple household,235
E01000494,Cohabiting couple household,83
E01000494,Lone parent household,91
E01000494,Multi-person household,69
E01000495,Does not apply,0
E01000495,One-person household,379
E01000495,Married or civil partnership couple household,151
E01000495,Cohabiting couple household,99
E01000495,Lone parent household,87
E01000495,Multi-person household,66
E01000497,Does not apply,0
E01000497,One-person household,141
E01000497,Married or civil partnership couple household,306
E01000497,Cohabiting couple household,77
E01000497,Lone parent household,105
E01000497,Multi-person household,56
E01000498,Does not apply,0
E01000498,One-person household,110
E01000498,Married or civil partnership couple household,259
E01000498,Cohabiting couple household,23
E01000498,Lone parent household,99
E01000498,Multi-person household,27
E01000499,Does not apply,0
