Lower layer Super Output Areas Code,Economic activity status (4 categories),Observation
E01001122,Economically inactive,484
E01001123,Does not apply,266
E01001123,Economically active: In employment (including full-time students),803
E01001123,Economically active: Unemployed (including full-time students),35
E01001123,Economically inactive,513
E01001124,Does not apply,238
E01001124,Economically active: In employment (including full-time students),685
E01001124,Economically active: Unemployed (including full-time students),36
E01001124,Economically inactive,607
E01001125,Does not apply,322
E01001125,Economically active: In employment (including full-time students),749
E01001125,Economically active: Unemployed (including full-time students),41
E01001125,Economically inactive,532
E01001126,Does not apply,239
E01001126,Economically active: In employment (including full-time students),703
E01001126,Economically active: Unemployed (including full-time students),23
E01001126,Economically inactive,452
E01001127,Does not apply,259
E01001127,Economically active: In employment (including full-time students),769
E01001127,Economically active: Unemployed (including full-time students),58
E01001127,Economically inactive,540
E01001128,Does not apply,417
E01001128,Economically active: In employment (including full-time students),632
E01001128,Economically active: Unemployed (including full-time students),82
E01001128,Economically inactive,470
E01001129,Does not apply,204
E01001129,Economically active: In employment (including full-time students),689
E01001129,Economically active: Unemployed (including full-time students),30
E01001129,Economically inactive,469
E01001130,Does not apply,589
E01001130,Economically active: In employment (including full-time students),609
E01001130,Economically active: Unemployed (including full-time students),93
E01001130,Economically inactive,473
E01001131,Does not apply,362
E01001131,Economically active: In employment (including full-time students),774
E01001131,Economically active: Unemployed (including full-time students),51
E01001131,Economically inactive,382
E01001132,Does not apply,267
E01001132,Economically active: In employment (including full-time students),762
E01001132,Economically active: Unemployed (including full-time students),40
E01001132,Economically inactive,551
E01001133,Does not apply,191
E01001133,Economically active: In employment (including full-time students),714
E01001133,Economically active: Unemployed (including full-time students),30
E01001133,Economically inactive,651
E01001134,Does not apply,260
E01001134,Economically active: In employment (including full-time students),816
E01001134,Economically active: Unemployed (including full-time students),45
E01001134,Economically inactive,491
E01001135,Does not apply,279
E01001135,Economically active: In employment (including full-time students),785
